molecule_chembl_id,assay_chembl_id,activity_id,canonical_smiles,assay_description,assay_type,assay_organism,assay_cell_type,assay_tissue,cell_chembl_id,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value,bao_endpoint,target_chembl_id,target_pref_name,target_type,target_organism,target_components,target_gene_symbols,document_chembl_id,document_journal,document_year,document_title,document_doi,document_pubmed_id,source_id,source_description,source_release,source_url,standard_value_num,pchembl_value_num,standard_units_norm,relation_preserved,endpoint_class,standard_value_nM,standard_value_M,p_activity_bound,p_activity_relation,censoring_type,p_ic50_ki,p_ic50_ki_relation,is_percent_inhibition,test_concentration_M,test_concentration_unit,test_concentration_raw_value,test_concentration_method,test_concentration_source,percent_inhibition_value,pseudo_ic50_M_n1,pseudo_pic50_n1,hill_assumed,p_ic50_bound_value,p_ic50_bound_relation,pseudo_ic50_method,p_ic50_bound_method,p_ic50_modeling,p_ic50_modeling_relation,p_ic50_modeling_method,smiles_missing,smiles_is_valid,smiles_validation_method,priority_has_modeled_pic50,priority_score,standard_value_num_median,standard_value_nM_median,standard_value_M_median,p_activity_bound_median,p_ic50_ki_median,pchembl_value_num_median,test_concentration_M_median,test_concentration_raw_value_median,percent_inhibition_value_median,pseudo_ic50_M_n1_median,pseudo_pic50_n1_median,p_ic50_bound_value_median,p_ic50_modeling_median,hill_assumed_median,n_selected_measurements,n_total_measurements_in_group
CHEMBL1008,CHEMBL827807,1449629,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Inhibitory concentration against IKr potassium channel,B,,,,,IC50,430.0,nM,=,,6.37,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1137856,Bioorg Med Chem Lett,2004,The pharmacophore hypotheses of I(Kr) potassium channel blockers: novel class III antiarrhythmic agents.,10.1016/j.bmcl.2004.06.070,15324906.0,1,Scientific Literature,,,430.0,6.37,nm,=,ic50_ki,430.0,4.3e-07,6.366531544420414,=,uncensored_or_approx,6.366531544420414,=,False,,,,,,,,,,,,,,6.366531544420414,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,12,430.0,430.0,4.3e-07,6.366531544420414,6.366531544420414,6.37,,,,,,,6.366531544420414,,1,1
CHEMBL1008,CHEMBL829152,1523682,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Inhibitory concentration against potassium channel HERG,B,,,,,IC50,549.54,nM,=,,6.26,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1139598,Bioorg Med Chem Lett,2005,A discriminant model constructed by the support vector machine method for HERG potassium channel inhibitors.,10.1016/j.bmcl.2005.03.080,15911273.0,1,Scientific Literature,,,549.54,6.26,nm,=,ic50_ki,549.54,5.4954e-07,6.260000690598032,=,uncensored_or_approx,6.260000690598032,=,False,,,,,,,,,,,,,,6.260000690598032,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,12,549.54,549.54,5.4954e-07,6.260000690598032,6.260000690598032,6.26,,,,,,,6.260000690598032,,1,1
CHEMBL1008,CHEMBL832277,1427112,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Inhibition of human voltage-gated potassium channel subunit Kv11.1 (ERG K+ channel) in open state,F,Homo sapiens,,,,IC50,549.54,nM,=,,6.26,BAO_0000190,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1142050,Bioorg Med Chem Lett,2005,A two-state homology model of the hERG K+ channel: application to ligand binding.,10.1016/j.bmcl.2005.01.008,15745831.0,1,Scientific Literature,,,549.54,6.26,nm,=,ic50_ki,549.54,5.4954e-07,6.260000690598032,=,uncensored_or_approx,6.260000690598032,=,False,,,,,,,,,,,,,,6.260000690598032,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,16,549.54,549.54,5.4954e-07,6.260000690598032,6.260000690598032,6.26,,,,,,,6.260000690598032,,1,1
CHEMBL1008,CHEMBL863591,1794636,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Displacement of [3H]Astemizole from hERG expressed in HEK293 cells at 10 uM,B,Homo sapiens,HEK293,,CHEMBL3307715,Ki,444.0,nM,=,,6.35,BAO_0000192,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1137244,Bioorg Med Chem Lett,2006,Ureas with histamine H3-antagonist receptor activity--a new scaffold discovered by lead-hopping from cinnamic acid amides.,10.1016/j.bmcl.2006.07.093,16908150.0,1,Scientific Literature,,,444.0,6.35,nm,=,ic50_ki,444.0,4.44e-07,6.35261702988538,=,uncensored_or_approx,6.35261702988538,=,False,9.999999999999999e-06,um,10.0,parsed_molar_text,assay_description,,,,,,,,,6.35261702988538,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,16,444.0,444.0,4.44e-07,6.35261702988538,6.35261702988538,6.35,9.999999999999999e-06,10.0,,,,,6.35261702988538,,1,1
CHEMBL1008,CHEMBL889313,1901347,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Ratio of Ki for hERG by SPA to Ki for hERG by fluorescence polarization assay in HEK293 cells,B,Homo sapiens,HEK293,,CHEMBL3307715,Ratio Ki,1.6,,=,,,BAO_0000179,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1145378,J Med Chem,2007,Fluorescently labeled analogues of dofetilide as high-affinity fluorescence polarization ligands for the human ether-a-go-go-related gene (hERG) channel.,10.1021/jm0700565,17536794.0,1,Scientific Literature,,,1.6,,,=,other_nonstandard,,,,=,uncensored_or_approx,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,6,1.6,,,,,,,,,,,,,,1,1
CHEMBL1008,CHEMBL889314,1901341,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Binding affinity at hERG expressed in HEK293 cells by fluorescence polarization assay,B,Homo sapiens,HEK293,,CHEMBL3307715,Ki,184.0,nM,=,,6.74,BAO_0000192,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1145378,J Med Chem,2007,Fluorescently labeled analogues of dofetilide as high-affinity fluorescence polarization ligands for the human ether-a-go-go-related gene (hERG) channel.,10.1021/jm0700565,17536794.0,1,Scientific Literature,,,184.0,6.74,nm,=,ic50_ki,184.0,1.84e-07,6.735182176990463,=,uncensored_or_approx,6.735182176990463,=,False,,,,,,,,,,,,,,6.735182176990463,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,16,184.0,184.0,1.84e-07,6.735182176990463,6.735182176990463,6.74,,,,,,,6.735182176990463,,1,1
CHEMBL1008,CHEMBL889315,1901321,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Displacement of [3H]dofetilide from hERG expressed in HEK293 cells by SPA,B,Homo sapiens,HEK293,,CHEMBL3307715,Ki,291.0,nM,=,,6.54,BAO_0000192,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1145378,J Med Chem,2007,Fluorescently labeled analogues of dofetilide as high-affinity fluorescence polarization ligands for the human ether-a-go-go-related gene (hERG) channel.,10.1021/jm0700565,17536794.0,1,Scientific Literature,,,291.0,6.54,nm,=,ic50_ki,291.0,2.91e-07,6.536107011014093,=,uncensored_or_approx,6.536107011014093,=,False,,,,,,,,,,,,,,6.536107011014093,=,measured_ic50_or_ki,False,True,regex_fallback_no_rdkit,1,16,291.0,291.0,2.91e-07,6.536107011014093,6.536107011014093,6.54,,,,,,,6.536107011014093,,1,1
CHEMBL101,CHEMBL5291828,25117100,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,"Compound was evaluated for inhibition of human KCNH2 in an in vitro assay with cellular components measured by membrane filtration, radioactivity method",F,,,,,AC50,30000.0,nM,>,"Summarised AC50 (mean value for measurements with a relation sign ""=""; largest value for measurements with relation sign "">"")",,BAO_0000186,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL5291721,Nat Commun,2023,A preclinical secondary pharmacology resource illuminates target-adverse drug reaction associations of marketed drugs.,10.1038/s41467-023-40064-9,37468498.0,1,Scientific Literature,,,30000.0,,nm,>,other_concentration,30000.0,3e-05,4.522878745280337,<,right_censored_lower_bound,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,1,30000.0,30000.0,3e-05,4.522878745280337,,,,,,,,,,,1,1
CHEMBL101106,CHEMBL841905,748165,COc1ncccc1C(=O)N1CC[C@H](NCc2cncn2Cc2ccc(C#N)cc2)C1,Inhibition of [35S]MK-499 binding to human ERG potassium channel stably expressed in HEK293 cells,B,Homo sapiens,HEK293,,CHEMBL3307715,IP,21000.0,nM,=,,,BAO_0000179,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1134579,J Med Chem,2001,"Design and biological activity of (S)-4-(5-([1-(3-chlorobenzyl)-2-oxopyrrolidin-3-ylamino]methyl)imidazol-1-ylmethyl)benzonitrile, a 3-aminopyrrolidinone farnesyltransferase inhibitor with excellent cell potency.",10.1021/jm010156p,11520202.0,1,Scientific Literature,,,21000.0,,nm,=,other_concentration,21000.0,2.1000000000000002e-05,4.6777807052660805,=,uncensored_or_approx,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,7,21000.0,21000.0,2.1000000000000002e-05,4.6777807052660805,,,,,,,,,,,1,1
CHEMBL101509,CHEMBL841905,720735,N#Cc1ccc(Cn2cncc2CN[C@H]2CCN(C(=O)c3cccnc3O)C2)cc1,Inhibition of [35S]MK-499 binding to human ERG potassium channel stably expressed in HEK293 cells,B,Homo sapiens,HEK293,,CHEMBL3307715,IP,50000.0,nM,>,,,BAO_0000179,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,Homo sapiens,Q12809 | Voltage-gated inwardly rectifying potassium channel KCNH2,ERG; ERG-1; ERG1; H-ERG; HERG; KCNH2; Synonyms=ERG,CHEMBL1134579,J Med Chem,2001,"Design and biological activity of (S)-4-(5-([1-(3-chlorobenzyl)-2-oxopyrrolidin-3-ylamino]methyl)imidazol-1-ylmethyl)benzonitrile, a 3-aminopyrrolidinone farnesyltransferase inhibitor with excellent cell potency.",10.1021/jm010156p,11520202.0,1,Scientific Literature,,,50000.0,,nm,>,other_concentration,50000.0,5e-05,4.301029995663981,<,right_censored_lower_bound,,,False,,,,,,,,,,,,,,,,,False,True,regex_fallback_no_rdkit,0,5,50000.0,50000.0,5e-05,4.301029995663981,,,,,,,,,,,1,1
